specimen_id,height_i,height_h,height_r,species,predicted_ir,percent_difference_r
062723-MOHK-018-H,1.8,1.7,2.4,EGME,2.39016,32.78666667
062723-MOHK-018-H,23.7,22.9,22.7,EGME,23.1936,2.136708861
062723-MOHK-018-I,1.8,1.7,2.1,EGME,2.08272,15.70666667
062723-MOHK-018-I,26.2,23.5,25.5,EGME,26.06304,0.5227480916
062723-MOHK-012-J,22,21.2,22.3,EGME,22.78368,3.562181818
062723-MOHK-012-H,28.8,26.5,28.3,EGME,28.93248,0.46
062723-MOHK-012-G,12.7,12.4,12.6,EGME,12.84312,1.126929134
062723-MOHK-018-F,21,19.2,20.3,EGME,20.73408,1.266285714
062723-MOHK-007-H,21.8,20,21.4,EGME,21.86136,0.2814678899
062723-MOHK-007-I,8.7,8,8.7,EGME,8.8464,1.682758621
062723-MOHK-007-J,36.2,33.5,33.7,EGME,34.4664,4.788950276
062723-MOHK-012-F,11.9,10.6,11.4,EGME,11.61336,2.408739496
062723-MOHK-012-I,16.6,15.34,16.2,EGME,16.5324,0.4072289157
062723-MOHK-018-G,8.5,8,8.2,EGME,8.334,1.952941176
062723-MOHK-018-J,13.6,12.5,13.6,EGME,13.86792,1.97
062723-MOHK-001-F,9.2,6.9,7.5,EGME,7.61664,17.21043478
062723-MOHK-001-G,9.142,8.424,8.944,EGME,9.0964512,0.4982367097
062723-MOHK-001-H,22.1,20,21.5,EGME,21.96384,0.6161085973
062723-MOHK-001-I,9.3,8.7,7.9,EGME,8.02656,13.69290323
062723-MOHK-004-F,28.4,26.5,27.9,EGME,28.52256,0.4315492958
062723-MOHK-004-G,16.9,15.3,16.6,EGME,16.94232,0.2504142012
062723-MOHK-004-H,11,10.1,11,EGME,11.20344,1.849454545
062723-MOHK-004-I,25.3,23.2,25,EGME,25.55064,0.9906719368
062723-MOHK-004-J,25.6,23.9,25.2,EGME,25.7556,0.6078125
062723-MOHK-007-F,11,10.3,10.8,EGME,10.99848,0.01381818182
062723-MOHK-007-G,21.7,20.4,21.6,EGME,22.06632,1.688110599