specimen_id,weight_i,weight_h,weight_r,type,species
062723-MOHK-018-H,1590,174,1222,thallus,EGME
062723-MOHK-018-H,163,27,194,pneu,EGME
062723-MOHK-018-I,177,26,181,pneu,EGME
062723-MOHK-018-I,1555,167,1148,thallus,EGME
062723-MOHK-012-J,2116,265,1007,thallus,EGME
062723-MOHK-012-H,1443,174,715,thallus,EGME
062723-MOHK-012-G,980,137,611,thallus,EGME
062723-MOHK-018-F,1174,124,769,thallus,EGME
071123-NAPL-023-A,3533,738,3075,thallus,CC
071123-NAPL-022-A,4285,973,3808,thallus,CC
062723-MOHK-007-H,1279,228,945,thallus,EGME
062723-MOHK-007-I,366,62,201,thallus,EGME
062723-MOHK-007-J,2348,352,1524,thallus,EGME
062723-MOHK-007-J,307,66,300,thallus,EGME
062723-MOHK-012-F,691,98,391,thallus,EGME
062723-MOHK-012-I,1045,141,705,thallus,EGME
062723-MOHK-018-G,228,31,143,thallus,EGME
062723-MOHK-018-J,600,65,329,thallus,EGME
062723-MOHK-001-F,269,27,112,thallus,EGME
062723-MOHK-001-G,254,33,120,thallus,EGME
062723-MOHK-001-H,1717,200,722,thallus,EGME
062723-MOHK-001-I,395,46,169,thallus,EGME
062723-MOHK-004-F,2344,311,1442,thallus,EGME
062723-MOHK-004-G,831,77,397,thallus,EGME
062723-MOHK-004-H,548,68,349,thallus,EGME
062723-MOHK-004-I,1491,199,880,thallus,EGME
062723-MOHK-004-I,594,56,252,pneu,EGME
062723-MOHK-004-J,314,56,246,pneu,EGME
062723-MOHK-004-J,1752,199,860,thallus,EGME
062723-MOHK-007-F,461,70,300,thallus,EGME
062723-MOHK-007-G,1478,210,919,thallus,EGME