specimen_id,thickness_mm_h_1,thickness_mm_h_2,thickness_mm_h_3,thickness_mm_h_4,thickness_mm_h_5,thickness_mm_h_6,thickness_mm_h_7,thickness_mm_h_8,thickness_mm_h_9,thickness_mm_h_10,,
062723-MOHK-018-H,0.017,0.021,0.021,0.017,0.018,0.023,0.024,0.11,0.03,0.018,,
062723-MOHK-018-I,0.033,0.049,0.186,0.035,0.028,0.051,0.03,0.03,0.03,0.03,,
062723-MOHK-012-J,0.059,0.053,0.059,0.05,0.053,0.046,0.047,0.046,0.05,0.053,,
062723-MOHK-012-H,0.044,0.064,0.038,0.045,0.042,0.055,0.051,0.034,0.031,0.035,,
062723-MOHK-012-G,0.044,0.047,0.046,0.042,0.045,0.045,0.044,0.047,0.047,0.046,,
062723-MOHK-018-F,0.014,0.015,0.014,0.022,0.016,0.011,0.03,0.015,0.015,0.015,,
071123-NAPL-023-A,0.04,0.066,0.11,0.063,0.114,0.133,0.91,0.12,0.12,0.088,,
071123-NAPL-022-A,0.223,0.347,0.098,0.088,0.165,0.1,0.074,0.108,0.109,0.106,,
062723-MOHK-007-H,0.027,0.036,0.081,0.032,0.032,0.058,0.03,0.04,0.045,0.058,,
062723-MOHK-007-I,0.088,0.032,0.026,0.027,0.039,0.042,0.04,0.032,0.035,0.04,,
062723-MOHK-007-J,0.029,0.023,0.024,0.03,0.019,0.023,0.024,0.027,0.029,0.07,,
062723-MOHK-012-F,0.075,0.075,0.096,0.085,0.11,0.1,0.177,0.067,0.057,0.081,,
062723-MOHK-012-I,0.072,0.068,0.059,0.053,0.053,0.054,0.074,0.047,0.038,0.035,,
062723-MOHK-018-G,0.066,0.072,0.046,0.038,0.041,0.058,0.039,0.04,0.04,0.062,,
062723-MOHK-018-J,0.032,0.041,0.036,0.037,0.028,0.02,0.028,0.027,0.025,0.024,,
062723-MOHK-001-F,0.035,0.035,0.049,0.039,0.045,0.036,0.039,0.053,0.037,0.03,,
062723-MOHK-001-G,0.038,0.046,0.023,0.03,0.011,0.011,0.019,0.026,0.041,0.041,,
062723-MOHK-001-H,0.068,0.051,0.029,0.032,0.028,0.027,0.022,0.048,0.026,0.029,,
062723-MOHK-001-I,0.051,0.082,0.03,0.024,0.018,0.019,0.045,0.057,0.047,0.055,,
062723-MOHK-004-F,0.081,0.035,0.036,0.035,0.04,0.046,0.043,0.049,0.055,0.065,,
062723-MOHK-004-G,0.044,0.035,0.032,0.029,0.034,0.029,0.042,0.028,0.029,0.027,,
062723-MOHK-004-H,0.06,0.05,0.038,0.036,0.033,0.031,0.034,0.033,0.033,0.033,,
062723-MOHK-004-I,0.061,0.05,0.051,0.047,0.045,0.035,0.038,0.051,0.054,0.048,,
062723-MOHK-004-J,0.035,0.037,0.036,0.031,0.04,0.039,0.032,0.037,0.04,0.032,,
062723-MOHK-007-F,0.058,0.052,0.053,0.05,0.041,0.049,0.04,0.043,0.04,0.052,,
062723-MOHK-007-G,0.078,0.056,0.047,0.011,0.042,0.035,0.034,0.042,0.038,0.041,,
071123-NAPL-022-B,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,,
071123-NAPL-023-B,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,,
071123-NAPL-023-C,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,,
071123-NAPL-024-D,0.1,0.3,0.2,0.4,0.2,0.1,0.1,0.1,0.1,0.2,,
071123-NAPL-024-E,0.1,0.1,0.2,0.4,0.2,0.1,0.1,0.1,0.1,0.2,,
071123-NAPL-024-Z,1.1,1.5,1.7,1.2,1.1,0.8,0.1,0.1,0.1,0.1,,
071123-NAPL-024-A,0.1,0.2,0.3,0.1,0.2,0.2,0.2,0.4,0.3,0.2,,
071123-NAPL-024-B,0.2,0.3,0.5,0.3,0.2,0.2,0.1,0.1,0.2,0.2,,
071123-NAPL-024-C,0.3,0.2,0.2,0.1,0.3,0.1,0.3,0.2,0.3,0.3,,
071123-NAPL-025-A,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,,
071123-NAPL-025-B,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,,
071123-NAPL-025-C,0.1,0.1,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.2,,
071123-NAPL-026-A,0.4,0.1,0.3,0.2,0.1,0.1,0.3,0.3,0.4,0.5,,
071123-NAPL-026-B,0.3,0.5,0.5,0.4,0.3,0.2,0.3,0.2,0.1,0.3,,
071123-NAPL-026-C,0.2,0.3,0.3,0.2,0.1,0.3,0.3,0.2,0.2,0.3,,
071123-NAPL-026-D,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,,
072523-BULL-013-A,0.135,0.058,0.131,0.136,0.159,0.107,0.083,0.074,0.089,0.098,,
072523-BULL-013-B,0.086,0.089,0.182,0.218,0.089,0.212,0.104,0.125,0.104,0.151,,
072523-BULL-013-C,0.199,0.196,0.214,0.2,0.215,0.032,0.051,0.09,0.132,0.082,,
073123-CARP-010-A,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,,
073123-CARP-010-B,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.122,0.097,,
073123-CARP-010-C,0.126,0.144,0.136,0.079,0.067,0.1,0.11,0.09,0.09,0.127,,
073123-CARP-011-A,0.278,0.246,0.104,0.085,0.111,0.113,0.087,0.111,0.1,0.077,,
073123-CARP-011-B,0.3,0.1,0.1,0.095,0.099,0.098,0.101,0.108,0.094,0.071,,
073123-CARP-011-C,0.227,0.153,0.145,0.138,0.104,0.131,0.075,0.071,0.086,0.105,,
073123-CARP-001-A,0.172,0.09,0.079,0.144,0.08,0.105,0.067,0.123,0.089,0.065,,
073123-CARP-001-B,0.114,0.084,0.081,0.113,0.078,0.059,0.118,0.103,0.102,0.062,,
073123-CARP-001-C,0.11,0.117,0.049,0.075,0.147,0.107,0.083,0.129,0.068,0.092,,
073123-CARP-002-A,0.165,0.17,0.214,0.138,0.157,0.165,0.052,0.105,0.102,0.082,,
073123-CARP-002-B,0.212,0.216,0.1,0.209,0.114,0.105,0.102,0.108,0.152,0.151,,
073123-CARP-002-C,0.361,0.13,0.105,0.112,0.137,0.143,0.046,0.169,0.11,0.13,,
073123-CARP-003-A,0.118,0.056,0.114,0.126,0.181,0.068,0.089,0.095,0.046,0.12,,
073123-CARP-003-B,0.187,0.205,0.159,0.093,0.1047,0.061,0.19,0.127,0.151,0.084,,
073123-CARP-003-C,0.107,0.113,0.091,0.104,0.102,0.085,0.063,0.115,0.15,0.105,,
073123-CARP-004-A,0.126,0.094,0.05,0.101,0.088,0.168,0.085,0.102,0.254,0.251,,
073123-CARP-004-B,0.131,0.148,0.125,0.168,0.074,0.083,0.055,0.127,0.085,0.045,,
073123-CARP-005-A,1.7,1.1,1.2,0.5,1.1,1,0.2,0.4,0.9,1.4,,
073123-CARP-005-B,1.7,1.3,1.1,1.5,1.6,0.9,0.3,1.1,1.4,0.3,,
073123-CARP-005-C,1.6,1.9,1.2,0.6,1.2,1.5,0.1,0.8,1.3,1,,
073123-CARP-006-A,1.2,1.3,1.2,1.3,2,1.7,1,1.1,0.6,1.1,,
073123-CARP-006-B,1,1.6,1.7,1.8,0.8,0.5,0.6,0.9,0.9,1.6,,
073123-CARP-007-A,1.4,1.8,1.1,1,1.3,0.6,1.2,1.1,2,1.7,,
073123-CARP-008-A,1.4,1.3,1.2,0.9,1.4,1.3,0.9,1.3,0.9,1.4,,
073123-CARP-009-A,1.6,1,1.3,1,1.3,1,1,1.3,0.9,1,,
072523-BULL-014-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-014-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-015-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-015-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-015-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
080723-MOHK-10-A,0.268,0.179,0.245,0.151,0.209,0.119,0.336,0.255,0.177,0.215,,
080723-MOHK-010-B,0.137,0.268,0.215,0.152,0.18,0.138,0.138,0.252,0.138,0.242,,
080723-MOHK-010-C,0.437,0.183,0.164,0.385,0.119,0.365,0.117,0.359,0.128,0.163,,
080723-MOHK011-A,0.258,0.16,0.241,0.097,0.108,0.176,0.083,0.142,0.182,0.12,,
080723-MOHK-11-B,0.354,0.251,0.169,0.177,0.275,0.177,0.304,0.192,0.159,0.188,,
080723-MOHK-11-C,0.248,0.218,0.198,0.113,0.146,0.232,0.098,0.109,0.168,0.095,,
080723-MOHK-12-A,0.247,0.148,0.28,0.195,0.321,0.183,0.323,0.178,0.178,0.297,,
080723-MOHK-12-B,0.142,0.293,0.1,0.116,0.266,0.12,0.265,0.132,0.122,0.208,,
080723-MOHK-12-C,0.341,0.134,0.341,0.151,0.347,0.158,0.356,0.223,0.294,0.197,,
080723-MOHK-13-A,0.098,0.124,0.098,0.081,0.093,0.068,0.044,0.046,0.055,0.07,,
080723-MOHK-13-B,0.123,0.154,0.091,0.063,0.053,0.121,0.045,0.05,0.119,0.101,,
080723-MOHK-16-A,0.036,0.035,0.067,0.049,0.066,0.076,0.034,0.032,0.033,0.058,,
080723-MOHK-16-B,0.029,0.097,0.034,0.03,0.031,0.03,0.039,0.029,0.034,0.028,,
080723-MOHK-15-A,0.045,0.1,0.045,0.052,0.046,0.083,0.07,0.048,0.088,0.05,,
080723-MOHK-15-B,0.1,0.068,0.055,0.043,0.054,0.11,0.044,0.053,0.058,0.078,,
080723-MOHK-15-C,0.091,0.064,0.111,0.077,0.062,0.063,0.127,0.056,0.048,0.047,,
080723-MOHK-14-A,0.088,0.073,0.101,0.091,0.082,0.095,0.108,0.068,0.073,0.064,,
080723-MOHK-014-B,0.1,0.087,0.076,0.082,0.078,0.08,0.054,0.052,0.024,0.52,,
080723-MOHK-014-C,0.157,0.095,0.09,0.096,0.078,0.19,0.083,0.271,0.075,0.084,,
080723-MOHK-022-A,0.273,0.263,0.36,0.384,0.418,0.278,0.235,0.298,0.244,0.109,,
080723-MOHK-022-B,0.349,0.29,0.181,0.186,0.173,0.126,0.235,0.144,0.385,0.189,,
080723-MOHK-022-C,0.21,0.16,0.156,0.296,0.168,0.566,0.348,0.335,0.353,0.227,,
080723-MOHK-021-A,0.643,0.4,0.73,0.517,0.634,0.712,0.732,0.873,0.388,0.494,,
080723-MOHK-021-B,0.658,0.775,0.641,0.703,0.599,0.553,0.478,0.514,0.602,0.428,,
080723-MOHK-021-C,0.816,0.625,0.407,0.833,0.563,0.551,0.805,0.578,0.643,0.435,,
080723-MOHK-020-A,0.596,0.476,0.396,0.563,0.489,0.598,0.55,0.56,0.5,0.4,,
080723-MOHK-020-B,0.9,0.7,0.8,0.4,0.7,0.6,0.3,0.2,0.5,0.4,,
080723-MOHK-020-C,0.7,0.4,0.8,0.5,0.3,0.7,0.3,0.6,0.7,0.4,,
080723-MOHK-019-A,0.8,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.9,0.4,,
080723-MOHK-019-B,0.6,0.5,0.6,0.5,0.6,0.5,0.9,0.4,0.1,0.8,,
080723-MOHK-019-C,0.8,0.7,0.4,0.6,0.8,0.2,0.6,0.6,0.7,0.9,,
080723-MOHK-018-A,0.6,0.4,0.4,0.6,0.5,0.5,0.8,0.3,0.7,0.3,,
080723-MOHK-018-B,0.9,0.2,0.3,0.4,0.3,0.6,0.6,0.5,0.3,0.6,,
080723-MOHK-018-C,0.9,0.2,0.3,0.4,0.3,0.6,0.6,0.5,0.3,0.6,,
080723-MOHK-017-A,0.9,0.8,0.6,0.4,0.5,0.6,0.5,0.4,0.4,0.6,,
080723-MOHK-017-B,0.4,0.4,0.6,0.5,0.4,0.3,0.5,0.4,0.4,0.5,,
080723-MOHK-017-C,0.5,0.7,0.5,0.4,0.6,0.4,0.5,0.3,0.5,0.5,,
080723-MOHK-001-A,0.167,0.211,0.162,0.134,0.13,0.152,0.119,0.108,0.153,0.195,,
080723-MOHK-001-B,0.294,0.213,0.179,0.18,0.135,0.137,0.13,0.172,0.232,0.207,,
080723-MOHK-001-C,0.142,0.116,0.195,0.204,0.193,0.199,0.19,0.204,0.143,0.212,,
080723-MOHK-002-A,0.2,0.6,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.4,,
080723-MOHK-002-B,0.4,0.3,0.3,0.2,0.3,0.2,0.3,0.4,0.3,0.3,,
080723-MOHK-002-C,0.2,0.3,0.25,0.2,0.3,0.4,0.4,0.2,0.3,0.3,,
080723-MOHK-003-A,0.142,0.141,0.148,0.178,0.103,0.095,0.099,0.098,0.109,0.163,,
080723-MOHK-003-B,0.099,0.097,0.1,0.311,0.076,0.082,0.077,0.107,0.113,0.09,,
080723-MOHK-003-C,0.096,0.124,0.074,0.093,0.078,0.081,0.075,0.063,0.159,0.102,,
080723-MOHK-004-A,0.137,0.171,0.215,0.115,0.156,0.117,0.125,0.07,0.11,0.065,,
080723-MOHK-004-B,0.114,0.116,0.107,0.102,0.086,0.094,0.125,0.076,0.094,0.096,,
080723-MOHK-004-C,0.079,0.042,0.043,0.132,0.124,0.11,0.098,0.087,0.096,0.18,,
080723-MOHK-005-A,0.127,0.109,0.051,0.063,0.111,0.089,0.104,0.109,0.078,0.133,,
080723-MOHK-005-B,0.183,0.181,0.07,0.067,0.078,0.039,0.112,0.075,0.056,0.099,,
080723-MOHK-005-C,0.171,0.157,0.161,0.242,0.11,0.136,0.046,0.175,0.081,0.11,,
080723-MOHK-006-A,0.051,0.072,0.045,0.075,0.1,0.124,0.092,0.08,0.065,0.197,,
080723-MOHK-006-B,0.219,0.181,0.172,0.099,0.073,0.073,0.145,0.067,0.023,0.145,,
080723-MOHK-006-C,0.072,0.081,0.184,0.065,0.089,0.275,0.054,0.15,0.142,0.056,,
080723-MOHK-007-A,0.159,0.111,0.11,0.118,0.095,0.216,0.133,0.092,0.071,0.1,,
080723-MOHK-007-B,0.112,0.045,0.104,0.091,0.054,0.062,0.155,0.111,0.09,0.102,,
080723-MOHK-007-C,0.027,0.048,0.139,0.069,0.08,0.13,0.066,0.121,0.138,0.075,,
080723-MOHK-008-A,0.4,0.3,0.1,0.2,0.1,0.2,0.1,0.2,0.3,0.1,,
080723-MOHK-008-B,0.5,0.6,0.2,0.3,0.2,0.1,0.1,0.1,0.2,0.1,,
080723-MOHK-008-C,0.4,0.1,0.3,0.1,0.2,0.1,0.2,0.1,0.2,0.2,,
080723-MOHK-009-A,0.4,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1,,
080723-MOHK-009-B,0.3,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,,
080723-MOHK-009-C,0.4,0.1,0.3,0.1,0.2,0.1,0.2,0.1,0.1,0.1,,
072523-BULL-001-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-002-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-002-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-002-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-003-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-004-A,0.081,0.081,0.092,0.122,0.127,0.09,0.05,0.105,0.076,0.078,,
072523-BULL-004-B,0.101,0.173,0.061,0.038,0.095,0.057,0.142,0.096,0.073,0.08,,
072523-BULL-004-C,0.084,0.053,0.105,0.086,0.043,0.078,0.063,0.178,0.091,0.053,,
072523-BULL-005-A,0.086,0.037,0.112,0.028,0.08,0.026,0.111,0.08,0.119,0.045,,
072523-BULL-005-B,0.109,0.054,0.124,0.06,0.112,0.024,0.112,0.029,0.136,0.036,,
072523-BULL-005-C,0.156,0.093,0.032,0.055,0.094,0.052,0.091,0.105,0.111,0.043,,
072523-BULL-006-A,0.033,0.029,0.022,0.042,0.027,0.033,0.026,0.026,0.037,0.023,,
072523-BULL-006-B,0.06,0.046,0.051,0.037,0.029,0.03,0.065,0.034,0.024,0.028,,
072523-BULL-006-C,0.055,0.044,0.05,0.042,0.099,0.039,0.041,0.045,0.046,0.046,,
072523-BULL-006-D,0.056,0.049,0.043,0.05,0.048,0.05,0.067,0.053,0.083,0.047,,
072523-BULL-007-A,0.09,0.062,0.053,0.083,0.103,0.161,0.03,0.088,0.117,0.033,,
072523-BULL-007-B,0.202,0.084,0.03,0.102,0.072,0.083,0.03,0.038,0.067,0.113,,
072523-BULL-007-C,0.071,0.104,0.036,0.069,0.098,0.058,0.063,0.127,0.027,0.033,,
072523-BULL-008-A,0.071,0.047,0.03,0.047,0.031,0.026,0.049,0.031,0.042,0.06,,
072523-BULL-008-B,0.064,0.03,0.049,0.05,0.097,0.024,0.077,0.041,0.058,0.026,,
072523-BULL-008-C,0.07,0.046,0.035,0.041,0.031,0.027,0.023,0.017,0.044,0.015,,
072523-BULL-009-A,0.166,0.175,0.064,0.091,0.103,0.115,0.102,0.066,0.038,0.067,,
072523-BULL-009-B,0.115,0.032,0.117,0.059,0.026,0.216,0.033,0.131,0.036,0.084,,
072523-BULL-009-C,0.108,0.065,0.067,0.04,0.082,0.042,0.089,0.039,0.066,0.045,,
072523-BULL-010-A,0.094,0.066,0.069,0.099,0.153,0.079,0.06,0.056,0.045,0.045,,
072523-BULL-010-B,0.077,0.086,0.088,0.08,0.06,0.043,0.074,0.064,0.054,0.043,,
072523-BULL-010-C,0.1,0.106,0.055,0.07,0.075,0.053,0.057,0.058,0.082,0.054,,
072523-BULL-011-A,0.115,0.044,0.064,0.069,0.063,0.043,0.038,0.04,0.054,0.032,,
072523-BULL-011-B,0.162,0.052,0.08,0.045,0.026,0.049,0.111,0.036,0.034,0.064,,
072523-BULL-011-C,0.276,0.191,0.031,0.052,0.081,0.196,0.32,0.41,0.47,0.31,,DID I MISS A COUPLE OF DECIMAL PLACES HERE OR WAS THIS GUY JUST FAT. 
072523-BULL-012-A,0.106,0.118,0.053,0.083,0.074,0.075,0.064,0.03,0.048,0.02,,
072523-BULL-012-B,0.081,0.046,0.036,0.092,0.089,0.034,0.099,0.052,0.03,0.053,,
072523-BULL-012-C,0.095,0.076,0.034,0.071,0.058,0.096,0.032,0.095,0.077,0.031,,
072523-BULL-016-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-016-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
072523-BULL-016-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,