specimen_id,thickness_mm_i_1,thickness_mm_i_2,thickness_mm_i_3,thickness_mm_i_4,thickness_mm_i_5,thickness_mm_i_6,thickness_mm_i_7,thickness_mm_i_8,thickness_mm_i_9,thickness_mm_i_10
062723-MOHK-018-H,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1
062723-MOHK-018-I,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2
062723-MOHK-012-J,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
062723-MOHK-012-H,0.2,0.2,0.2,0.3,0.3,0.2,0.4,0.1,0.1,0.1
062723-MOHK-012-G,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.2,0.1
062723-MOHK-018-F,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2
071123-NAPL-023-A,0.8,1.1,0.4,0.5,0.3,0.2,0.2,0.2,0.3,0.5
071123-NAPL-022-A,1,0.6,0.4,0.5,0.6,0.7,0.6,1.1,0.5,0.4
062723-MOHK-007-H,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3
062723-MOHK-007-I,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1
062723-MOHK-007-J,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.25
062723-MOHK-012-F,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.1
062723-MOHK-012-I,0.2,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.1
062723-MOHK-018-G,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2
062723-MOHK-018-J,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1
062723-MOHK-001-F,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
062723-MOHK-001-G,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
062723-MOHK-001-H,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1
062723-MOHK-001-I,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2
062723-MOHK-004-F,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3
062723-MOHK-004-G,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1
062723-MOHK-004-H,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2
062723-MOHK-004-I,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
062723-MOHK-004-J,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2
062723-MOHK-007-F,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3
062723-MOHK-007-G,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2
071123-NAPL-022-B,0.3,0.3,0.3,0.4,0.4,0.3,0.6,0.5,0.5,0.6
071123-NAPL-023-B,0.4,0.3,0.6,0.3,0.2,0.3,0.4,0.4,0.5,0.4
071123-NAPL-023-C,0.2,0.2,0.3,0.3,0.5,0.4,0.3,0.4,0.6,0.4
071123-NAPL-024-D,0.2,0.2,0.4,0.5,0.4,0.8,0.1,0.9,0.4,0.7
071123-NAPL-024-E,0.2,0.2,0.7,1.3,0.4,0.5,0.5,0.1,0.3,0.2
071123-NAPL-024-Z,0.2,0.2,0.3,0.4,0.2,0.8,1.1,0.5,0.4,1
071123-NAPL-024-A,0.7,0.6,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1
071123-NAPL-024-B,0.7,0.6,0.6,0.4,0.5,0.3,0.5,0.3,0.3,0.3
071123-NAPL-024-C,0.9,0.8,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6
071123-NAPL-025-A,0.7,0.5,0.5,0.4,0.3,0.2,0.2,0.3,0.4,0.3
071123-NAPL-025-B,0.7,0.5,0.1,0.4,0.4,0.4,0.3,0.2,0.2,0.2
071123-NAPL-025-C,0.8,0.6,0.4,0.3,0.3,0.3,0.3,0.2,0.1,0.3
071123-NAPL-026-A,0.9,0.6,0.4,0.4,0.5,0.4,0.4,0.5,0.3,0.3
071123-NAPL-026-B,0.9,0.7,0.6,0.8,0.9,0.9,0.7,0.8,0.9,0.5
071123-NAPL-026-C,0.7,0.6,0.8,0.7,0.6,0.6,0.4,0.5,0.4,0.5
071123-NAPL-026-D,0.8,0.7,0.5,0.4,0.3,0.2,0.6,0.5,0.3,0.3
072523-BULL-013-A,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1
072523-BULL-013-B,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2
072523-BULL-013-C,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
073123-CARP-010-A,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2
073123-CARP-010-B,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
073123-CARP-010-C,0.2,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1
073123-CARP-011-A,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2
073123-CARP-011-B,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0
073123-CARP-011-C,0.3,0.1,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.1
073123-CARP-001-A,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.1,0.2,0.1
073123-CARP-001-B,0.3,0.4,0.3,0.4,0.3,0.2,0.3,0.2,0.1,0.1
073123-CARP-001-C,0.2,0.2,0.3,0.4,0.2,0.3,0.3,0.2,0.2,0.2
073123-CARP-002-A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
073123-CARP-002-B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
073123-CARP-002-C,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
073123-CARP-003-A,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0.1
073123-CARP-003-B,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1
073123-CARP-003-C,1.9,2.2,2.5,2.4,2.3,0.7,0.5,0.4,0.5,2.4
073123-CARP-004-A,2,2.3,2.1,2.3,2.3,0.4,0.9,1.3,0.2,0.4
073123-CARP-004-B,2.6,2.3,2.2,2.7,2.2,1.4,1.7,0.8,0.8,1.7
073123-CARP-005-A,2.6,2.3,2.7,2.7,2.2,1.4,1.7,0.8,0.8,1.7
073123-CARP-005-B,2.4,1.8,2.4,2.2,1.7,1.2,0.6,1.5,0.5,0.8
073123-CARP-005-C,1.9,1.4,2.3,2,2.5,1.1,1.6,1.7,0.4,0.3
073123-CARP-006-A,2.2,2.2,1.7,2,2.4,1.1,1.2,0.5,0.6,0.6
073123-CARP-006-B,2.8,2.3,2.1,3.5,2.3,0.9,1.2,0.7,1.2,0.9
073123-CARP-007-A,1.9,1.4,2.3,2,2.5,1.1,1.6,1.7,0.4,0.3
073123-CARP-008-A,2.2,2.2,1.7,2,2.4,1.1,1.2,0.5,0.6,0.6
073123-CARP-009-A,2.8,2.3,2.1,3.5,2.3,0.9,1.2,0.7,1.2,0.9
072523-BULL-014-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-014-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-015-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-015-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-015-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
080723-MOHK-10-A,1.4,1.1,1,0.8,0.9,0.6,0.6,0.8,0.1,0.8
080723-MOHK-010-B,1,0.5,0.9,0.7,0.9,0.5,0.9,0.5,0.9,0.4
080723-MOHK-010-C,1,0.4,1.1,0.5,1.1,0.5,1,0.4,0.4,0.4
080723-MOHK-011-A,0.9,0.8,0.3,0.8,0.2,0.7,0.3,0.6,0.2,0.4
080723-MOHK-11-B,1,1,1,0.9,0.9,0.8,0.9,1.1,0.4,0.5
080723-MOHK-11-C,1,0.4,0.9,0.3,0.8,0.4,0.6,0.2,0.5,0.3
080723-MOHK-12-A,0.8,0.8,0.9,0.3,1,0.2,1,0.3,0.5,0.7
080723-MOHK-12-B,1.2,0.3,1.1,0.4,1.1,0.5,0.9,0.4,0.7,0.4
080723-MOHK-12-C,0.9,0.9,0.4,1.1,0.5,0.4,1.1,0.5,1.2,1
080723-MOHK-13-A,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-13-B,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-16-A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-16-B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-15-A,0.4,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1
080723-MOHK-15-B,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-15-C,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-14-A,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
080723-MOHK-014-B,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-014-C,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-022-A,0.4,0.6,0.6,0.8,0.5,0.5,0.4,0.6,0.5,0.7
080723-MOHK-022-B,0.6,0.5,0.5,0.4,0.3,0.4,0.3,0.3,0.4,0.6
080723-MOHK-022-C,0.6,0.7,0.5,0.4,0.7,0.5,0.5,0.2,0.5,0.6
080723-MOHK-021-A,0.6,0.5,0.3,0.5,0.6,0.2,0.5,0.6,0.8,0.3
080723-MOHK-021-B,0.7,1,0.5,0.3,0.5,0.6,0.4,0.6,0.9,0.7
080723-MOHK-021-C,1,0.7,0.3,0.6,0.7,0.4,0.5,0.4,0.6,0.3
080723-MOHK-020-A,1.2,0.7,0.7,0.4,0.2,0.4,0.6,0.6,0.2,0.7
080723-MOHK-020-B,0.8,0.6,0.7,0.4,0.8,0.4,0.3,0.5,0.3,0.6
080723-MOHK-020-C,0.8,0.4,0.2,0.3,0.3,0.4,0.6,0.3,0.6,0.4
080723-MOHK-019-A,0.7,0.3,0.9,0.9,0.4,0.6,0.5,0.4,0.5,0.8
080723-MOHK-019-B,0.8,0.7,0.3,0.5,0.6,0.3,0.4,0.6,0.6,0.6
080723-MOHK-019-C,0.8,0.3,0.4,0.7,0.7,0.8,0.3,0.5,1,0.5
080723-MOHK-018-A,1.1,0.9,0.3,0.6,0.5,0.7,0.3,0.4,0.6,0.3
080723-MOHK-018-B,0.8,0.8,0.7,0.5,0.5,0.5,0.7,0.5,0.4,0.7
080723-MOHK-018-C,0.9,0.4,0.6,0.5,0.5,0.4,0.5,0.5,1,0.3
080723-MOHK-017-A,1,0.9,0.5,0.4,0.5,0.4,0.6,0.6,0.7,0.5
080723-MOHK-017-B,0.6,0.5,0.4,0.5,0.6,0.7,0.7,0.5,0.5,0.5
080723-MOHK-017-C,0.9,0.6,0.9,0.6,0.4,0.6,0.8,0.6,0.6,0.7
080723-MOHK-001-A,0.4,0.2,0.4,0.3,0.4,0.3,0.3,0.3,0.2,0.4
080723-MOHK-001-B,0.4,0.5,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.2
080723-MOHK-001-C,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.3
080723-MOHK-002-A,0.7,0.2,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4
080723-MOHK-002-B,0.7,0.5,0.2,0.4,0.2,0.5,0.3,0.3,0.6,0.8
080723-MOHK-002-C,1,0.6,0.1,0.1,0.1,0.1,0.4,0.4,0.2,0.8
080723-MOHK-003-A,0.3,0.1,0.3,0.1,0.4,0.4,0.4,0.2,0.2,0.1
080723-MOHK-003-B,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.2
080723-MOHK-003-C,0.1,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.3,0.2
080723-MOHK-004-A,0.2,0.2,0.1,0.2,0.3,0.3,0.2,0.2,0.3,0.1
080723-MOHK-004-B,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.1
080723-MOHK-004-C,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.3
080723-MOHK-005-A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
080723-MOHK-005-B,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0
080723-MOHK-005-C,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0,0,0
080723-MOHK-006-A,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0
080723-MOHK-006-B,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1
080723-MOHK-006-C,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0
080723-MOHK-007-A,0.1,0.2,0.2,0.1,0,0.3,0.2,0.3,0.1,0
080723-MOHK-007-B,0.2,0.1,0.1,0.2,0.1,0,0.1,0.2,0.2,0
080723-MOHK-007-C,0.2,0.1,0,0.2,0.1,0,0.1,0.2,0.2,0
080723-MOHK-008-A,1.5,0.2,0.6,0.4,0.3,0.9,0.9,0.2,0.6,0.7
080723-MOHK-008-B,1.3,0.8,0.3,0.3,0.6,0.8,0.6,0.7,0.4,0.5
080723-MOHK-008-C,1.6,0.5,0.5,0.2,0.5,0.4,0.1,0.7,0.5,0.5
080723-MOHK-009-A,1.4,0.6,0.3,0.3,0.4,0.4,1,0.3,0.7,0.2
080723-MOHK-009-B,1.1,0.9,0.1,0.4,0.3,0.4,1,0.4,0.5,0.5
080723-MOHK-009-C,1.1,0.2,0.6,1.1,0.2,0.3,0.3,0.9,0.8,0.3
072523-BULL-001-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-002-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-002-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-002-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-003-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-004-A,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1
072523-BULL-004-B,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2
072523-BULL-004-C,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-005-A,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-005-B,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1
072523-BULL-005-C,0.4,0.2,0.4,0.2,0.1,0.1,0.2,0.1,0.2,0.1
072523-BULL-006-A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-006-B,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-006-C,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1
072523-BULL-006-D,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2
072523-BULL-007-A,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1
072523-BULL-007-B,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1
072523-BULL-007-C,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
072523-BULL-008-A,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-008-B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1
072523-BULL-008-C,0.3,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1
072523-BULL-009-A,0.3,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-009-B,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.1
072523-BULL-009-C,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1
072523-BULL-010-A,0.3,0.2,0.3,0.1,0.1,0.2,0.2,0.1,0.2,0.1
072523-BULL-010-B,0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1
072523-BULL-010-C,0.4,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1
072523-BULL-011-A,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1
072523-BULL-011-B,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3
072523-BULL-011-C,0.1,0.1,0.6,0.3,0.3,0.1,0.1,0.1,0.5,0.1
072523-BULL-012-A,0.4,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.1
072523-BULL-012-B,0.1,0.2,0.3,0.1,0.2,0.1,0.2,0.2,0.1,0.2
072523-BULL-012-C,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.3,0.1
072523-BULL-016-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-016-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-016-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA