specimen_id,weight_g_i,weight_g_h,weight_g_r,species,notes
062723-MOHK-001-F,269,27,112,EGME,
062723-MOHK-001-G,254,33,120,EGME,
062723-MOHK-001-H,1717,200,722,EGME,
062723-MOHK-001-I,395,46,169,EGME,
062723-MOHK-004-F,2344,311,1442,EGME,
062723-MOHK-004-G,831,77,397,EGME,
062723-MOHK-004-H,548,185,349,EGME,
062723-MOHK-004-I,1491,199,880,EGME,
062723-MOHK-004-J,1752,199,860,EGME,
062723-MOHK-007-F,461,70,300,EGME,
062723-MOHK-007-G,1478,210,919,EGME,
062723-MOHK-007-H,1279,228,945,EGME,
062723-MOHK-007-I,366,62,201,EGME,
062723-MOHK-007-J,2348,352,1524,EGME,
062723-MOHK-012-F,691,98,391,EGME,
062723-MOHK-012-G,980,137,611,EGME,
062723-MOHK-012-H,1443,174,715,EGME,
062723-MOHK-012-I,1045,141,705,EGME,
062723-MOHK-012-J,2116,265,1007,EGME,
062723-MOHK-018-F,1174,124,769,EGME,
062723-MOHK-018-G,228,31,143,EGME,
062723-MOHK-018-H,1590,174,1222,EGME,
062723-MOHK-018-I,1555,167,1148,EGME,
062723-MOHK-018-J,600,65,329,EGME,
071123-NAPL-022-A,4285,973,3808,CC,
071123-NAPL-022-B,5562,1154,5044,CC,
071123-NAPL-023-A,3533,738,3075,CC,
071123-NAPL-023-B,2832,551,2396,CC,
071123-NAPL-023-C,3896,744,3358,CC,
071123-NAPL-024-A,14378,2896,14219,CC,
071123-NAPL-024-B,17406,4004,19439,CC,
071123-NAPL-024-C,3933,922,3878,CC,
071123-NAPL-024-D,14228,3290,9321,CC,
071123-NAPL-024-E,9235,2280,6736,CC,
071123-NAPL-024-Z,10679,2558,7001,CC,
071123-NAPL-025-A,7536,1508,6858,CC,
071123-NAPL-025-B,8371,1653,7595,CC,
071123-NAPL-025-C,5423,1041,4912,CC,
071123-NAPL-026-A,30879,6646,29039,CC,
071123-NAPL-026-B,27419,5661,26540,CC,
071123-NAPL-026-C,8656,1851,8000,CC,
071123-NAPL-026-D,6693,1366,5347,CC,
072523-BULL-001-A,NA,NA,NA,POLA,too fragile to handle
072523-BULL-002-A,NA,NA,NA,NAND,too fragile to handle
072523-BULL-002-B,NA,NA,NA,NAND,too fragile to handle
072523-BULL-002-C,NA,NA,NA,NAND,too fragile to handle
072523-BULL-003-A,NA,NA,NA,POLA,too fragile to handle
072523-BULL-004-A,872,155,619,NAND,
072523-BULL-004-B,3063,422,2023,NAND,
072523-BULL-004-C,1853,305,1211,NAND,
072523-BULL-005-A,45644,4113,20804,BF,
072523-BULL-005-B,18141,2511,12612,BF,
072523-BULL-005-C,3770,641,2891,BF,
072523-BULL-006-A,631,75,399,POLA,
072523-BULL-006-B,2368,297,1810,POLA,
072523-BULL-006-C,2354,321,2276,POLA,
072523-BULL-006-D,4714,605,2952,POLA,
072523-BULL-007-A,6549,1219,5476,BF,
072523-BULL-007-B,8831,1672,7216,BF,
072523-BULL-007-C,2770,382,2093,BF,
072523-BULL-008-A,8218,777,4922,BF,
072523-BULL-008-B,12487,1309,8158,BF,
072523-BULL-008-C,772,74,328,BF,
072523-BULL-009-A,1607,321,1059,BF,
072523-BULL-009-B,19349,3247,12072,BF,
072523-BULL-009-C,44954,6333,27042,BF,
072523-BULL-010-A,2753,367,1355,NAND,
072523-BULL-010-B,2642,197,1292,NAND,
072523-BULL-010-C,1116,654,1353,NAND,
072523-BULL-011-A,10912,421,5720,BF,
072523-BULL-011-B,2848,421,1347,BF,
072523-BULL-011-C,4878,748,2429,BF,
072523-BULL-012-A,1654,340,1012,BF,
072523-BULL-012-B,3748,589,1937,BF,
072523-BULL-012-C,14419,2243,8382,BF,
072523-BULL-013-A,6020,712,2360,DL,
072523-BULL-013-B,5465,644,2921,DL,
072523-BULL-013-C,7329,890,3814,DL,
072523-BULL-014-B,NA,NA,NA,DL,too fragile to handle
072523-BULL-014-C,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-A,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-B,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-C,NA,NA,NA,DL,too fragile to handle
072523-BULL-016-A,NA,NA,NA,DL,too fragile to handle
072523-BULL-016-B,NA,NA,NA,DL,too fragile to handle
072523-BULL-016-C,NA,NA,NA,DL,too fragile to handle
073123-CARP-001-A,881,147,463,DP,
073123-CARP-001-B,251,37,94,DP,
073123-CARP-001-C,874,162,394,DP,
073123-CARP-002-A,3878,631,1572,DP,
073123-CARP-002-B,8469,1354,3475,DP,
073123-CARP-002-C,10923,1593,3977,DP,
073123-CARP-003-A,8486,1132,3156,DP,
073123-CARP-003-B,10255,1313,4198,DP,
073123-CARP-003-C,4874,569,1746,DP,
073123-CARP-004-A,4717,704,1756,DP,
073123-CARP-004-B,9593,1514,3731,DP,
073123-CARP-005-A,7258,2257,4884,GR,
073123-CARP-005-B,8762,2712,6070,GR,
073123-CARP-005-C,5170,1485,3436,GR,
073123-CARP-006-A,8312,2589,5100,GR,
073123-CARP-006-B,14243,3176,8368,GR,
073123-CARP-007-A,31393,7634,18652,GR,
073123-CARP-008-A,22796,6249,14108,GR,
073123-CARP-009-A,9970,2838,7208,GR,
073123-CARP-010-A,1547,263,768,DP,
073123-CARP-010-B,4918,699,2274,DP,
073123-CARP-010-C,1118,172,426,DP,
073123-CARP-011-A,4700,900,2189,DP,
073123-CARP-011-B,2284,350,962,DP,
073123-CARP-011-C,9718,1483,4169,DP,
080723-MOHK-001-A,1139,171,419,DP,
080723-MOHK-001-B,3537,553,1333,DP,
080723-MOHK-001-C,4472,784,1874,DP,
080723-MOHK-002-A,690,429,643,CO,
080723-MOHK-002-B,421,275,384,CO,
080723-MOHK-002-C,143,101,142,CO,
080723-MOHK-003-A,5950,742,1984,DP,
080723-MOHK-003-B,7474,919,2409,DP,
080723-MOHK-003-C,5429,672,1979,DP,
080723-MOHK-004-A,1362,199,542,DP,
080723-MOHK-004-B,1771,242,728,DP,
080723-MOHK-004-C,1274,182,496,DP,
080723-MOHK-005-A,379,50,161,DP,
080723-MOHK-005-B,1302,206,541,DP,
080723-MOHK-005-C,3768,517,1455,DP,
080723-MOHK-006-A,3043,429,1367,DP,
080723-MOHK-006-B,4162,561,1562,DP,
080723-MOHK-006-C,598,91,269,DP,
080723-MOHK-007-A,2805,453,1260,DP,
080723-MOHK-007-B,3781,572,1569,DP,
080723-MOHK-007-C,3690,493,1313,DP,
080723-MOHK-008-A,3788,561,1180,CYOS,
080723-MOHK-008-B,3948,725,1445,CYOS,
080723-MOHK-008-C,5483,938,1963,CYOS,
080723-MOHK-009-A,5648,804,1828,CYOS,
080723-MOHK-009-B,6176,961,2139,CYOS,
080723-MOHK-009-C,4178,525,1283,CYOS,
080723-MOHK-010-B,5760,897,1852,CYOS,
080723-MOHK-010-C,7516,1086,2478,CYOS,
080723-MOHK-011-A,3319,458,1257,CYOS,
080723-MOHK-014-B,511,115,392,R,
080723-MOHK-014-C,472,112,382,R,
080723-MOHK-017-A,306,167,273,CO,
080723-MOHK-017-B,283,137,249,CO,
080723-MOHK-017-C,472,235,402,CO,
080723-MOHK-018-A,782,371,630,CO,
080723-MOHK-018-B,1160,527,877,CO,
080723-MOHK-018-C,368,218,339,CO,
080723-MOHK-019-A,458,205,342,CO,
080723-MOHK-019-B,251,121,196,CO,
080723-MOHK-019-C,661,358,613,CO,
080723-MOHK-020-A,2869,1158,2144,CO,
080723-MOHK-020-B,1940,874,1622,CO,
080723-MOHK-020-C,751,361,640,CO,
080723-MOHK-021-A,343,177,288,CO,
080723-MOHK-021-B,986,534,863,CO,
080723-MOHK-021-C,874,445,741,CO,
080723-MOHK-022-A,6850,1623,5135,R,
080723-MOHK-022-B,2941,675,2103,R,
080723-MOHK-022-C,2774,709,2202,R,
080723-MOHK-10-A,1447,150,328,CYOS,
080723-MOHK-11-B,4243,741,1936,CYOS,
080723-MOHK-11-C,9798,1357,3548,CYOS,
080723-MOHK-12-A,4044,761,1667,CYOS,
080723-MOHK-12-B,4805,683,1793,CYOS,
080723-MOHK-12-C,9951,1558,4105,CYOS,
080723-MOHK-13-A,747,166,584,R,
080723-MOHK-13-B,482,112,366,R,
080723-MOHK-14-A,483,108,346,R,
080723-MOHK-15-A,4405,819,3114,R,
080723-MOHK-15-B,3298,570,2057,R,
080723-MOHK-15-C,2642,470,1826,R,
080723-MOHK-16-A,267,51,204,R,
080723-MOHK-16-B,66,12,37,R,